"No","Judul","Subjudul","Pengarang","Priority","Tahun","Penerbit","Bahasa","Page","TTD"
4,"It's Not About Me","Hiduplah dengan bersungguh-sungguh bersungguh-sungguhlah dengan hidup","Max Lucado",3,2012,"Penerbit Katalis","ID/Terj",151,"2012/Bandung"
18,"Just Do Something","Sebuah pendekatan yang membebaskan untuk menentukan Kehendak Allah","Kevin DeYoung",3,2013,"Literatur Perkantas Jatim","ID/Terj",158,"2013/Bandung"
42,"99 Cara menjadikan Anak Anda Keranjingan Membaca",,"Mary Leonhardt",3,2001,"Kaifa (Mizan)","ID/Terj",176,"2014/Bandung"
43,"Psycho Cybernetic Untuk Sukses",,"I Navare",3,,"Socratin Incorporated","ID/Terj",76,"2014/Bandung"
44,"Kunci Pencerahan Seketika","Maha Guru Ching Hai","Maha Guru Ching Hai",3,2012,"Supreme Master Ching","ID/Terj",103,"2014/Bandung"
45,"Membaca Kepribadian Orang",,"Gregory G. Young",3,2012,"Think Jogjakarta","ID",393,"2014/Bandung"
53,"Ekonomi Inovasi",,"LPIK ITB",3,2010,"LPIK ITB","ID",308,"2015/Mei/Bandung"
54,"Profil Lembaga Pengembangan Inovasi dan Kewirausahaan ITB","Institut Teknologi Bandung","LPIK ITB",3,2015,"LPIK ITB","ID",180,"2015/Mei/Bandung"
55,"Right People Right Place","Peka Terhadap Suara Allah","Jentezen Franklin",3,2008,"Immanuel","ID/Terj",190,"2015/Mei/Bandung"
81,"Aku","Berdasarkan Perjalan Hidup dan Karya Penyair Chairil Anwar","Sjuman Djaya",3,2016,"Gramedia","ID",155,"2016/Desember/Bandung"
82,"Aku ini Binatang Jalang",,"Chairil Anwar",3,2011,"Gramedia","ID",131,"2016/Desember/Bandung"
83,"Sabtu Besama Bapak",,"Adhitya Mulya",3,2016,"Gagas Media","ID",277,"2016/Desember/Bandung"
107,"An Indigo Celebration","Kumpulan Pesan dan Kisah dari Anak-anak Indigo","Lee Carroll and Jan Tober",3,2007,"Gramedia","ID/Terj",295,"2016/Oktober/Bandung"
108,"Tuhan Apakah Engkau Peduli","Menemukan kekuatan ketika Tuhan terasa Jauh","Tony Evans",3,2010,"Gloria Usaha Mulia","ID/Terj",207,"2016/Oktober/Bandung"
109,"The Philosophy of Thai Chi Chuan","Ajaran Bijak dari Confucius, Lao Tzu dan Para Filsuf Lainnya","Freya, etc",3,2011,"Elex Media Komputindo","ID/Terj",108,"2016/Oktober/Bandung"
